ab.sɛ̃t	ʔap5.sɛŋ1
a.ʁab	ʔa1.zɤ̆p6
a	ʔat5
aʁ.ʃi.mɛd	ʔak5.si1.mɛt5
a	ʔɛk5
aʁ.mɔ.ni.ka	ʔak5.mo1.ni1.ka1
a.ʁoz.waʁ	ʔo1.zwa1
aʁp	hak6
a.fɛʁ	ʔap5.fɛ1
a.fɛʁ	ʔăp5.fe1
a.fiʃ	ʔap5.fik5
œf.o.pla	ʔop5.la1
ã.glə.tɛʁ	ʔɛŋ1
a.kœ̃	ʔăk5.kwi1
al.bɔm	ʔan1.ɓɔm1
al.bɔm	ʔan1.ɓum1
al.ʒe.ʁi	ʔan1.ze1.zi1
a.le.zwa	zwa1
al.kɔl	kon2
a.lo	ʔa1.lo1
a.ly.mi.njɔm	ɲom1
a.mɔ.njak	ʔa1.mo1.ni1.ʔak5
a.mib	ʔa1.mip5
a.mi.dal	ʔa1.mi1.ɗan1
a.mjɑ̃t	ʔa1.mi1.ʔăŋ1
a.nɔd	ʔa1.not5
a.nɔ.fɛl	ʔa1.nɔ1.fɛn1
a.nɔ.fɛl	ʔa1.no1.fɛn1
ap.sɛ	ʔap5.sɛ1
a.se.ton	ʔa1.se1.ton1
a.sid	ʔa1.sit5
a.tã.tjõ	tăŋ1.soŋ1
ã.tɛn	ʔăŋ1.tɛn1
ã.və.lɔp	lop5
bõb	ɓɔm1
bã.daʒ	ɓăŋ1
bãd	ɓaŋ1
bã.də.ʁɔl	ɓăŋ1.zon1
baʁ	ɓa1
baʁ	ɓa1.zɤ1
bœʁ	ɓɤ1
bak	ɓăk5
ba.lad	ɓa1.lat5
ba.lad	ɓa1.lat6
ba.last	ɓa1.lat5
ba.last	ɓa1.lat6
bal	ɓɛŋ1
ba.lɛ	ɓa1.le1
bal.kõ	ɓan1.koŋ1
ba.lo	ɓa1.lo1
ba.ta	ɓa1.ta1
ba.zu.ka	ɓa1.zo1.ka1
bɑʃ	ɓat6
bɛʒ	ɓɛ1
be.ʁɛ	ɓe1.ze1
bɛʁ.ʒe	ɓɛk5.ze1
bʁɑ̃.kaʁ	ɓăŋ1.ka1
bʁɔs	ɓɔt5
bɔj	ɓoj2
bɔks	ɓok5
bɛn	ka2.nɔŋ1
be.tõ	ɓɔŋ1.kɛ1
bɔt	ɓot5
bi.dɔ͂	ɓi1.ɗoŋ1
bi.dɔ̃	ɓiŋ2.tɔŋ1
bif.tɛk	ɓip5.tek5
bif.tɛk	ɓip5.tet5
bif.tɛk	ɓit5.tet5
bijaʁ	ɓi1.a1
bijaʁ	ɓi1.za1
bil	ɓi1
bi.si.klɛt	sik5
bisk.ɥi	ɓɛŋ1.kwi1
bisk.ɥi	ɓik5.kwi1
bis.kɔt	ɓik5.kot5
bjɛʁ	ɓiə1
bjɛl	ɓiən1
bjɛl	zen1
blø	lɤ1
blɔk	ɓɤ2.lok5
blɔk	lok5
bluz	ɓɤ2.lu1
blu.zɔ̃	ɓɤ2.lu1.zoŋ1
bo.bin	ɓo1.ɓin1
bu.ʒi	ɓu1.zi1
bu.lɔ̃	ɓu1.loŋ1
bu.lɔ̃	ɓu2.lɔŋ1
bun.kœʁ	ɓɔŋ1.kɛ1
by.fɛ	ɓup5.fe1
bys	ɓwit5
dam	ɗɤ̆m2
dã.tɛl	ɗăŋ1.tɛn1
dʒak	zăk5
dʒaz	za1
dʒe.ʁi.kan	kan1
dʒip	zip5
de.ma.ʁœʁ	ɗe2
de.po	ɗe2.po1
de.si.bɛl	ɗɛ1.si1.ɓɛn1
din	ɗin1
di.sɛl	ɗi1.ʔe1.zɛn1
di.sɛl	ɗi1.zɛn1
di.vɑ̃	ɗi1.văŋ1
do	ɗo1
do.mi.no	ɗo1.mi1.no1
duj	ɗuj1
dy.na.mo	ɗi1.na1.mo1
ʒã.bõ	zăm1.ɓoŋ1
ʃãbʁ	săm1
ʁa.daʁ	za1.ɗa1
ʁa.djɑ̃	za1.ɗi1.an1
ʁa.djɔm	za1.ɗi1
ʁa.djo	ɾa1.ɗi1.o1
ʁa.djo	ɹa1.ɗi1.o1
ʁa.djo	za1.ɗi1.o1
ʁa.flə	zap5
ʁa.gu	la1.ɣu1
ʁa.gu	za1.ɣu1
ʁaj	zăj1
ʁa.kɔʁ	zăk5.kɔ1
ʃa.lɑ̃	sa2.lan1
ʃal	san1
ʁœn.tgɛn	zɤn1.ɣɛn1
ʃã.panj	săm1.ɓɛŋ1
ʃã.panj	sɤ̆m1.ɓɛŋ1
ʃɔʁt	sɔk5
ʃɛf	sep
ʃɔ.kɔ.la	so1.ko1.la1
ʁɔ.kɛt	zok5.kɛt5
ʃɛk	sɛk5
ʃɔk	sok5
ʁə.mɔʁk	mɔk5
ʁə.mɔʁk	zɤ2.mɔk6
ɔʁ.mɔn	hɔk5.mɔn1
ʃə.miz	sɤ1.mi1
ʁɔm	zum1
ʃɛn	sen1
ʒɛn	zɛn1
ʁə.sɔʁ	lɔ2.sɔ1
ɛʁts	hɛk5
ʁe	ze1
ʒe.zys	ze1.su1
ɛg.ɥij	ɣi1
ʁi.do	zi1.ɗo1
ʒi.lɛ	zi1.le1
ɑ̃.pɛ.ʁœʁ	ʔam1.pɛ1.zɤ2
ɑ̃.pɛʁ	ʔam1.pɛ1
ɑ̃.pɛʁ	ʔăm1.pɛ1
ɑ̃.pɛʁ.mɛtʁ(ə)	ʔam1.pɛ1.ke5
ɑ̃.ti.gɔn	ti1.ɣon1
ʁi.vɛ	zi1.ve1
e.kɛʁ	ʔe1.kɛ
e.kɛʁ	kɛ1
e.kʁu	ʔe1.ku1
e.kip	e1.kip5
e.kip	ʔe1.kip6
ɔk.si.ʒɛn	ʔo1.si1
e.lips	ʔe1.lip5
e.lips	ʔɛ1.lip5
ɔ.liv	ʔo1.liw1
e.ljɔm	hɛ1.li1
ɔm.lɛt	ʔop5.let5
ʁo.bo	zo1.ɓɤt5
ʁo.bo	zo1.ɓot5
ʁo.ti	zo1.ti1
e.ʁɔ.in	he1.zo1.in1
ɛ.sãs	ʔɛt5.săŋ1
ɛ.sãs	săŋ1
e.tɛʁ	ʔe1.tɛ1
e.tɥi	tuj5
e.to	ʔe1.to1
ʃu.ʁav	su1.hao2
ʃu.flœʁ	su1.lɤ1
ʃu.flœʁ	sup5.lɤ1
ʁu.lo	lo1
ʁu.lo	zu1.lo1
ʒul	zun1
ʒwɛ̃	zwaŋ1.zwăŋ1
ʁy.bã	ɓăŋ1
fa.ʁa	fa1.za1
faʁ	fa1
fa	fa1
fõ	foŋ1
fø.tʁə	fɤt5
faz	fa1
fʁãs	fap5
fʁɛ̃	fɛŋ1
fɛʁ.mə.tyʁ	fɛk5.mɤ1.twiə1
fɔʁm	fɔm1
fɔ̃t	foŋ1
fʁo.maʒ	fɔ1.mat5
fʁo.maʒ	fo1.ma1
fʁo.maʒ	fo1.maj1
fɔs.fat	fot5.fat5
fiʃ	fik5
fiʃ	fin1
fi.lɛ	fi1.le1
film	fim1
fil.tʁə	fik5
fil.tʁə	fin1
flɑ̃	fɤ1.lan1
flɑ̃	fɤ2.lăŋ1
flɑ̃	flăŋ1
flɑ̃	flan1
fo.sfɔʁ	fot5.fɔ1
fo.tœj	fo1.tɤj1
fuʁ.ʃ	fuək5
fy	fi1
fy	fwi1
gã	ɣăŋ1
ga.ʁaʒ	ɣa1.za1
gaʁd	ɣak5
gaʁ	ɣa1
ga.ʁo	ɣa1.zo1
ga.lɔ̃	ɣa1.loŋ1
ga.lɛn	ɣa1.lɛn1
ga.mɛl	ɣa1.mɛn1
ga.mɛl	ka1.mɛn1
ga.to	ɣa1.to1
gaz	ɣak6
gʁam	ɣa2.zam1
gʁam	ɣam1
gʁɛf	ɣɛp5
gɔlf	ɣon1
gɔm	ɣom1
gɛ.tʁə	ɣet6
gi.dɔ͂	ɣi1.ɗoŋ1
gid	ɣit5
gi.taʁ	ɣi1.ta1
gla.jœl	lăj1.ʔɤn1
gol	ɣon1
i.nɔks	ʔi1.nok5
jauʁ	za1.ʔuə1
jɔd	ʔi1.ot5
ka.bin	ka1.ɓin1
ka.ʁa.bin	kak6.ɓin1
ka.ʁa	ka2.za5
ka.ʁa.mɛl	ka1.ɾa1.mɛn1
kaʁ.bɔ.nat	kak5.ɓɔ1.nat5
kaʁ.bɔ.nat	kak5.ɓo1.nat5
kaʁ.bɔn	kak5.ɓɔn1
kaʁ.byʁ	kak5.ɓuə1
kaʁ.dɑ̃	kak5.ɗăŋ1
ka.ʃɛ	kat5.se1
ka.ʃɛ	kat6.se1
ka.ʁɔt	ka2.zot5
ka.ʁi	ka1.zi1
ka.ʁi	ka2.zi1
kaʁ	ka1
kœʁ	kɤ1
ka.ʁo	zo1
kaʁ.tabl(ə)	ka1.tap5
kaʁ.tabl(ə)	kak5.tap5
kaʁ.tabl(ə)	kăp6.tap5
kaʁ.tõ	kak5.toŋ1
kaʁ.tɛl	kak5.tɛn1
kaʁ.tɛl	kak6.tɛn1
kaʁ.tuʃ	tut5
ka.fe	ka2.fe1
ka.kao	ka1.kaw1
kø	kɔ1
ka.lɔ.ʁi	ka1.lo1.zi1
ka.ljɔm	ka1.li1
kalk	kan1
ka.lo	ka1.lo1
kal.sjɔm	kan1.si1
ka.mjõ	kam1.ɲoŋ1
kam	kam1
ka.nõ	ka2.nɔŋ1
ka.nif	ɲip5
ka.no	ka1.no1
ka.pɔt	ka1.pot5
kap	kap5
kõ.plɛ	kɔm1.le1
ka.skɛt	ket5
kõ.takt	koŋ1.tak5
ka.ta.lɔg	ka1.ta1.lɔk5
ka.ta.lɔg	ka1.ta1.lo1
ka.to.lik	ki1.to1
kau.tʃu	kaw1.su1
kʁa.vat	ka1.vat5
kʁa.vat	ka2.vat6
kʁa.vat	ka2.za1.vat5
kɔ.balt	kɔ1.ɓan1
kɔ.balt	ko1.ɓan1
kɑbl(ə)	kap5
kɔʁ	kɔ1
kʁɛm	ka2.zɛm1
kʁɛm	kɛm1
kʁɛp	kɤ2.zep5
kʁɛp	kep5
kɔf.ʁaʒ	kop5.fa1
kɔf.ʁaʒ	kot5.fa1
kɔfʁ	kop5
kɔ̃.fe.ti	kɔn1.fɛt5.ti1
kɔ̃.fe.ti	koŋ1.fɛt5.ti1
kɔ̃.sɔʁ.sjɔm	koŋ1.sɔk5.si1.ʔɔm1
kɔ̃.sɔl	kɔn1.son1
kɔ̃.sɔl	koŋ1.sɔn1
kɔ͂.tœʁ	koŋ1.tɤ1
kɔ.̃tə.nœʁ	kɔŋ1.tɛ1.nɤ1
kɔ.̃tə.nœʁ	koŋ1.tɤ1.nɤ1
kɔ.̃tə.nœʁ	koŋ1.tɛn1.nɤ1
kɔ̃t.gut	koŋ1.tɤ1.ɣut5
kɑ͂.tin	kăŋ1.tin1
kɛ	kɛ2
kɔk	kok5
kɔk.tɛl	kok5.taj1
kɔ.mɑ̃d.kaʁ	kɔm1.măŋ1.ka1
kɔ.mi.sjõ	kɔm1.mi1.si1.oŋ1
kɔ.mi.sjõ	kɔm1.mit5.si1.oŋ1
kɔ.njak	ko1.ɲăk5
ke.pi	ke1.pi1
kɛs	kɛt5
ki.ɔsk	ki1.ot5
ki.lɔ.mɛtʁ	ki1.lo1.mɛt5
klɔʁ	kɤ2.lɔ1
klɔ.ʁyʁ	kɤ1.lɔ1.zuə1 
klɔ.ʁyʁ	kɤ2.lɔ1.zuə1 
kle	kɤ1.le1
kle	kɤ2.le1
ko.tõ	ko.toŋ1
ko.tɑ̃.ʒɑ̃t	kɔ1.taŋ1
ko.tɑ̃.ʒɑ̃t	ko1.taŋ1
kʁə.sɔ̃	kaj4.sɔŋ1
kʁik	kik5
ku.ʁœʁ	kuə1.zɤ1
ku.ʁwa	ku1.zwa1
ku	ku5
ku.lɔ̃	ku1.lɔn1
ku.lɔ̃	ku1.loŋ1
kup	kup5
laʁ.bʁə	lap5
la.kle	lăk5
la.kle	lăk5.le1
la	la1
la.tɛ̃	la1.tiŋ1
la.va.bo	la1 va1 ɓɔ1
la.va.bo	la1.va1.ɓo1
le.ʒjɔ͂	le1.zɯəŋ1
lɛ.gɔʁn	lɤ1.ɣɔ1
le.gym	ɣim1
le.gym	la1.ɣim1
lɛ̃	lɛŋ1
le.ni.nist	le1.ni1.nit5
lɛn	lɛn1
lɔ.to	lo1.to1
li.pid	li1.pit5
li.pid	li1.pit6
li.tɔ.gʁa.fi	li1.to1
litʁ	lit5
li.tiɔm	li1.ti1
lo.dʒja	lo1.za1
lo.ʒik	lɔ1.zik5
lo.ʒik	lo1.ɣik5
lo.ʒik	lo1.zik5
lo.ga.ʁit.mə	lo1.ɣa1
lo.ga.ʁit.mə	lo1.ɣa1.zit5
lo	lo1
lup	lup5
lyk.sã.buʁ	luk5.săm1.ɓuə1
lyk.sã.buʁ	lwik5.săm1.ɓuə1
ma.dam	ɓa2.ɗɤ̆m2
ma.ʁa.tɔ̃	ma1.za1.toŋ1
mã.ʃɛt	măŋ1.sɛk5
maʁk	mak5
maʁk.sist	mak5.sit5
maj.ʃɔʁ	măj1.sɔ1
ma.jo	măj1.ʔo1
ma.kə.ʁo	ma1.ko1
ma.nə.kɛ̃	ma1.nɤ1.kɛŋ1
man.gu.stɑ̃	măŋ1.kut6
ma.njez.jɔm	ma1.ɲe1
ma.njez.jɔm	ma1.zi1
mã.to	măŋ1.to1
ma.zut	ma1.zut5
mɔ.bi.lɛt	mo1.ɓi1.lɛt5
mɔd	mot5
mɔʁ.fin	mɔk5.fin1
mɛʁ	mɛ1
mɔʁs	mɔk5
mɑ͂ .ʃɔ͂	măŋ1.soŋ1
mɔ.nɔ.mɛʁ	mo1.no1.mɛ1
mɛtʁ	mɛt5
mɔ.tif	mo1.tip5
mi	mi1
mi.mo.sa	mi1.mo1.sa1
mi.ni.ʒyp	mi1.ni1.zwip5
mi.ni	mi1.ni1
min	min2
mo.dyl	mo1.ɗun1
mo.lɛt	mɔ4.let5
mo.lɛt	mɔ4.lɛt6
mo.lɛt	mo1.let5
mo.tœʁ	mo1.tɤ1
mo.to.si.klɛt	mo1.to1
mu.ʃwaʁ	mu1.swa1
mu.ʃwaʁ	muj2.swa1
mus	mut5
mu.taʁd	mu2.tak6
mu.taʁd	mu2.tat6
mwa.jø	mwăj1.ʔɤ1
nø.ʁon	nɤ1.zɔn1
nø	nɤ1
nø.tʁɔ̃	nɤ1.tɤ1.zoŋ1
nø.tʁɔ̃	nɤ1.tɤ1.zon1
ne.ɔ̃	ne1.ʔoŋ1
nɔ.ɛl	no1.ɛn1
nɔt	not5
ni.kɛl	ken2
ni.kɛl	ni1.kɛn1
ni.lõ	ni1.loŋ1
ni.tʁo.ʒɛn	ni1.to1
ni.vo	ni1.vo1
o.pe.ʁa	ʔo1.pe1 za1
o.tɔ.bys	ʔo1.to1.ɓwit5
o.to.mat	ʔap5.to1.mat5
o.to.mat	ʔat5.to1.mat5
o.to.mɔ.bil	ʔo1.to1
o.vɑ̃	ʔo1.văŋ1
paʁ.pɛ̃	ɓa1.ɓɛŋ1
pa.gaj	ɓa1.ɣaj1
pa.lɑ̃	pa1.lăŋ1 
pa.lə.to	ɓɛŋ2.to1
pa.no	pa1.no1
põp	ɓɤm1
pa.te	ɓa1.te1
pa.tɛ̃	pa1.tɛŋ1
pa.te	pa1.te1
pe.dal	pe1.ɗan1
pɔʁt.ba.gaʒ	ɓa1.ɣa1
pɛ̃.so	pɛŋ1.so1
pɛ̃s	pɛŋ1
pə.lyʁ	pɤ1.lwiə1
pɔ.mad	pɔm1.mat5
pɔm	ɓɔm1
pi.ɲɔ̃	ɲoŋ1
pik	ɓik5
pik	pik5
pil	ɓin1
pil	pin1
pi.stõ	pit5.toŋ1
pja.no	pi1.a1.no1
pla.fõ	la1.foŋ1
pudʁ	ɓot6
pu.li	pu1.li1
pu.pe	ɓup5.ɓe1
ʁə.lɛ	zɤ1.lɛ1
ʁu.li.bʁ(ə)	lip5
sã.dal	săŋ1.ɗan1
sœʁ	sɤ1
sœʁ	sɤ2
sa.gu.tje	sa1.ɣo1.tɕe1
sa.gu.tje	sa1.ɣu1
sa.kɔʃ	sa2.kot6
sak	săk5
sak.so.fɔn	săk5.so1.fon1
sa.lad	sa2.lɛk5
sa.tɑ͂	sa1.tăŋ1
sa.tɛ͂	sa1.tɛŋ1
sa.võ	sa2.ɓoŋ1
sə.ʁiz	sɤ1.zi1
sɛʁ.vœʁ o.deʁ ʁə.sə.vœʁ	sɤ1.vɤ1
seg.mɑ̃	sɛk5.măŋ1
seg.mɑ̃	sɛt5.măŋ1
sɑ̃.ti.mɛtʁ(ə)	săŋ1.ti1.mɛt5
sə.kuʁ	sɤ1.kuə1
sɔl	sɔn1
se.ly.loz	sɛn1.lu1.lo1
sɛ.lyl	sa2.lim1
se.mi.nɛʁ	se1.mi1.na1
sɔ.nɛ	sɔn1.ne1
se.zaʁ	se1.za1
si.də.kaʁ	sit5.ɗɤ2.ka1
si.ʁaʒ	si1
siʁk	siək5
si.ʁo	si1.zo1
si.fɔ̃	si1.foŋ1
si.gaʁ	si2.ɣa2
si.klo.pus	sik5.lo1
si.lɛ̃dʁ	si1.lɛŋ1
si.mi.li	si1.mi1.li1
sim	si1.măŋ1
si.ne.ma	si1.ne1
si.ne.ma	si1.ne1.ma1
si.njal	si1.ɲan1
si.nys	sin1
si	si1
si.tɛʁn	si1.tɛk5
skã.dal	si2.kăŋ1.ɗan1
slip	si1.lip5
so.fa	so1.fa1
so.sis	suk5.sik5
so	so1
sos	sot5
staʁ.tɛʁ	tăk5.tɛ1
sud	sut5
su.pap	su1.pap5
sup	sup5
su	su1
su.tjɛ̃.gɔʁʒ	su1. tɕiəŋ1
syl.fat	sun1.fat5
syl.fat	swin1.fat5
syl.fyʁ	sun1.fuə1
tabl.je	tap6.ze2
ta.blo	tap5.lo1
ta.ʁo	ta1.zo1
tak.si	tăk5.si1
tãk	tăŋ1
talk	tan1
ta.ly	ta1.lwi1
ta.nɛ̃n	ta1.nin1
tã.põ	tăm1.ɓoŋ1
tas	tɛk5
ta.tu	ta1.tu1
tʁœj	tɤj2
tʁak.tœʁ	tăk5.tɤ1
tʁõ.pɛt	tɕɹɔm1.pɛt5
tʁõ.pɛt	tɕɔm1.pɛt5
tʁa.vɛʁs	ta2.vɛt6
tʁɛ̃.gl(ə)	tɛŋ1
tʁɑ̃.sbɔʁ.dœʁ	tăŋ1.ɓɔ1
tʁɑ̃.sfɔʁ.ma.tœʁ	tăŋ1.fo1
tɛ̃bʁ	tɛm1
tɑ̃.dœʁ	tăŋ1.ɗɤ1
tɔ̃.døs	toŋ1.ɗɤ1
tɑ̃. ʒɑ̃t	taŋ1
tɑ̃.go	tăŋ1.ɣo1
tɥi.jo	twi1.ʔo1
tʁi.ko	ti1.ko1
te.nis	tɛn1.nit5
tɔn	tɤ̆n5
ti.kɛ	tik5.ke1
tip	tip5
ti.sy	twit5.si1
titʁ	tit5
tol	ton1
to.no	tɔn1.no1
to.no	to1.no1
to.tɛm	to1.tɛm1
tuʁ.nə.vi	tuə1.vit5
tuʁ.nə.vi	tuək5.nɤ1.vit5
tuʁ.nə.vi	vit5
tuʁ	tuə1
twid	twit5
tyb	tip5
tyb	tup5
tyb	twip5
tyʁ.bin	tuə1.ɓin1
tyʁ.bin	twiət6.ɓin1
ty.lip	tu1.lip5
ty.lip	twi1.lip5
tyl	twin1
ty.nɛl	twi1.nɛn1
va.gɔ.nɛ	ɣɔŋ1
va.gɔ.nɛ	ɣɔŋ2
va.liz	va1.li1
valv	van1
va.nij	va1.ni1
van	van1
vat	vat5
vɛʁ.ni	vɛk5.ni1
vɛʁ.ni	vɛt6.ni1
vɛʁ	vɛ1
vɛ̃	vaŋ1
vɛk.tœʁ	vɛk5.tɤ1
vɔ.lã	vo1.lăŋ1
vɔlt	von1
vɛn	vɛn1
vɛ.stõ	vɛt5.toŋ1
vɛst	vɛt5
vi.ʁys	vi1.zut5
vi	vit5
vjo.lõ.sɛl	sɛn1.lo1
vjo.lõ.sɛl	vi1.o1.loŋ1.sɛn1
vjo.lõ	vi1.o1.loŋ1 
vjo.lɛt	vi1.o1.lɛt5
vwal	vwan1
y.ʁe	ʔu1.ze1
ze.ʁo	ze1.zo1
zi.klœʁ	zik5.lɤ1
