aʁab	ʔa1 zɤ̆p6
aʁʃimɛd	ʔak5/6 si1 mɛt5/6
aʁmɔnika	ʔak5 mo1 ni1 ka1
aʁoswaʁ	ʔo1 zwa1
aʁp	hak6
afɛʁ	ʔap5 fɛ1, ʔăp5 fe1
afiʃ	ʔap5 fik5
œfopla	ʔop5 la1
aky	ʔăk5 kwi1
albɔm	ʔan1 ɓum1, ʔan1 ɓɔm1
alʒeʁi	ʔan1 ze1 zi1, ʔan1 ze1 ɾi1
alezwa	zwa1
alkɔl	kon2
alo	ʔa1 lo1
alyminjɔm	ɲom1
amɔnjak	ʔa1 mo1 ni1 ʔak5
amib	ʔa1 mip5
amidal	ʔa1 mi1 ɗan1
amjɑ̃t	ʔa1 mi1 ʔăŋ1 
anɔd	ʔa1 not5
anɔfɛl	ʔa1 no1 fɛn1, ʔa1 nɔ1 fɛn1
apsɛ	ʔap5 sɛ1
apsɛ̃t	ʔap5 sɛŋ1
arikovɛʁ	ko1 vɛ1, vɛ1
as	ʔɛk5, ʔat5
asetɔn	ʔa1 se1 ton1
asid	ʔa1 sit5
asidimɛtʁ(ə)	ʔa1 sit5 ke5
atɑ̃ sjɔ̃n	tăŋ1 soŋ͡m1
atlas	ʔat5 lat5
baʁ	ɓa1
baʁ	ɓa1 zɤ1
bœʁ	ɓɤ1
baʁjɛʁ	ɓa1 zi1
bak	ɓăk5
balad	ɓa1 lat5/6
balast	ɓa1 lat5/6
bal	ɓɛŋ1
balɛ	ɓa1 le1
balkɔ̃	ɓan1 koŋ͡m1
balo	ɓa1 lo1
baskɛt	ɓat5 ket5
bata	ɓa1 ta1
baz	ɓa1 zɤ1
bazuka	ɓa1 zo1 ka1
bɑʃ	ɓat6
bɛʒ	ɓɛ1
beʁɛ	ɓe1 ze1
bɛʁʒe	ɓup5 fe1
bʁɑ̃.kaʁ	ɓăŋ0.ka0
bʁɑ̃kaʁ	ɓăŋ1 ka1
bʁɔs	ɓɔt5
bɔ͂b	ɓɔm1
bɑ̃daʒ	ɓăŋ1
bɑ̃d	ɓaŋ1
bɑ̃dʁɔl	ɓăŋ1 zon1
bɔj	ɓoj2
bɔks	ɓok͡p5
bɛn	ka2 nɔŋ͡m1
betɔ͂	ɓɔŋ͡m1 kɛ1
bɔt	ɓot5
bidɔ͂	ɓi1 ɗoŋ͡m1
bidɔ̃	ɓiŋ2 tɔŋ͡m1
biftɛk	ɓit5 tet5, ɓip5 tet5, ɓip5 tek5
bijaʁ	ɓi1 za1,  ɓi1 a1
bil	ɓi1
biskɥi	ɓik5 kwi1, ɓɛŋ1 kwi1
biskɔt	ɓik5 kot5
bjɛʁ	ɓiə1
bjɛl	zen1, ɓiən1
blø	lə0
blø	lɤ1
blɔk	ɓɤ2 lok͡p5, lok͡p5
blɔkos	lo1 kot5
bluz	ɓɤ2 lu1
bluzɔ̃	ɓɤ2 lu1 zoŋ͡m1
bobin	ɓo1 ɓin1
buʒi	ɓu1 zi1
bulɔ̃	ɓu1 loŋ͡m1, ɓu2 lɔŋ͡m1
bunkœʁ	ɓɔŋ͡m1 kɛ1
byfɛ	ɓup5 fe1
bys	ɓwit1
bys	ɓwit5
capɔt	ka1 pot5
dam	ɗɤ̆m2
(d)ʒak	zăk5
dʒaz	za1
(d)ʒeʁikan	kan1
dʒip	zip5
dɑ͂tɛl	ɗăŋ1 tɛn1
dɑ̃tɛl	zɛn1
dɔk.tœʁ	ɗok1.tə0
demaʁœʁ	ɗe2
depo	ɗe2 po1
desibɛl	ɗɛ1 si1 ɓɛn1
din	ɗin1
disɛl	ɗi1 ʔe1 zɛn1, ɗi1 zɛn1
divɑ̃	ɗi1 văŋ1
djɔd	ɗi1 ʔot5
do	ɗo1
domino	ɗo1 mi1 no1
duj	ɗuj1
dyʁalyminjɔn	ɗu1 za1
dynamo	ɗi1 na1 mo1
ʁadaʁ	za1 ɗa1
ʁadjɑ̃	za1 ɗi1 an1
ʁadjɔm	za1 ɗi1, ɾa1 ɗi1
ʁadjo	ɾa1 ɗi1 o1, ɹa1 ɗi1 o1, za1 ɗi1 o1
ʁafl(ə)	zap5
ʁagu	za1 ɣu1, la1 ɣu1
ʁakɔʁ	zăk5 kɔ1
ʃalɑ̃	sa2 lan1
ʃal	san1
ʁœntgɛn	zɤn1 ɣɛn1
ʁɔbo	zo1 ɓot5, zo1 ɓɤt5
ʃɔʁt	sɔk͡p5
ʃɛf	sep
ʒɑ̃.bɔ̃	zăm0.ɓoŋ0
ʒɑ͂ bɔ͂	zăm1 ɓoŋ͡m1
ʃɑ̃bʁ	săm1
ʃɑ͂paɲ	săm1 ɓɛŋ1, sɤ̆m1 ɓɛŋ1
ʁɑj	zăj1
ʁɔkɛt	zok͡p5 kɛt5
ʃɛk	sɛk5
ʃɔk	sok͡p5
ʒelatin	ɣɛ1 la1 tin1
ʁ(ə)mɔʁk	mɔk͡p5, zɤ2 mɔk͡p6
ɔʁmɔn	hɔk͡p5 mɔn1
ʃə.miz	sə0.mi0
ʃəmiz	sɤ1 mi1
ʃɛn	sen1
ʒɛn	zɛn1
ʁəsɔʁ	lɔ2 sɔ1
ɛʁts	hɛk5
ʁe	ze1
ʒezys	ze1 su1
egɥijœʁ	ɣi1
egɥij	ɣi1
ʁido	ɾi1 ɗo1, zi1 ɗo1
ɑ͂glətɛʁ	ʔɛŋ1
ʒilɛ	zi1 le1
ɑ̃pɛʁœʁ	ʔam1 pɛ1 zɤ2
ɑ̃pɛʁ	ʔam1 pɛ1, ʔăm1 pɛ1
ɑ̃pɛʁmɛtʁ(ə)	ʔam1 pɛ1 ke5
ɑ̃tɛn	ʔăŋ1 tɛn1
ɑ̃tigɔn	ti1 ɣon1
ɑ̃v(ə)lɔp	lop5
ʁive	zi1 ve1
ekɛʁ	ʔe1 kɛ, kɛ1
ekʁu	ʔe1 ku1
ekip	ʔe1 kip5, e1 kip5/6
ekip	kip5
ɔksiʒɛn	ʔo1 si1
elips	ʔe1 lip5, ʔɛ1 lip5
eljɔm	hɛ1 li1
ɔmlɛt	ʔop5 let5
ʃokola	so1 ko1 la1
ʁoti	zo1 ti1
ʃovinism(ə)	so1 vɛŋ1
erɔin	he1 zo1 in1, he1 ɾo1 in1
esɑ͂s	ʔɛt5 săŋ1, săŋ1
etɛʁ	ʔe1 tɛ1
etɥi	tuj5
eto	ʔe1 to1
ʃuʁav	su1 hao2
ʃuflœʁ	su1 lɤ1, sup5 lɤ1
ʒul	zun1
ʒwɛ̃	zwaŋ1 zwăŋ1
ʁybɑ̃	ɓăŋ1
faʁa	fa1 za1
faʁ	fa1
faʃism(ə)	fat5 sit5
fa	fa1
føtʁ(ə)	fɤt5
fʁɛ̃	fɛŋ1
fʁɑ̃s	fap5
fʁɔmaʒ	fɔ1 mat5, fo4 mɛk5, fo1 maj1, fo1 ma1
fɛʁmətyʁ	fɛk5 mɤ1 twiə1
fɔʁm	fɔm1
fɔ͂	foŋ͡m1
fɔ̃t	foŋ͡m1
fɔsfat	fot5 fat5
fɔsfɔʁ	fot5 fɔ1
fɑz	fa1
fiʃ	fik5, fin1
file	fi1 le1
film	fim1
filtʁ(ə)	fik5, fin1
flɑ̃	fɤ1/2 lan1,  fɤ1/2 lăŋ1, flan1, flăŋ1
fotœj	fo1 tɤj1
fuʁʃ	fuək5
fy	fi1, fwi1
fy	fwi1
gabaʁdin	ɣa1 ɓak6 ɗin1
gaʁaʒ	ɣa1 za1
gaʁd	ɣak5
gaʁdəbu	ɣak5 ɗɤ2 ɓu1
gaʁdmɑ̃ʒe	ɣak5 măŋ1 ze1
gaʁ	ɣa1
gaʁo	ɣa1 zo1
galɔ̃	ɣa1 loŋ͡m1
galɛn	ɣa1 lɛn1
gamɛl	ɣa1 mɛn1, ka1 mɛn1, ka1 mɛn1
gato	ɣa1 to1
gaz	ɣak6
gʁam	ɣam1, ɣa2 zam1
gʁɛf	ɣɛp5
gɑ̃	ɣăŋ1
gɔlf	ɣon1
gɔm	ɣom1
gɛtʁ(ə)	ɣet6
gidɔ͂	ɣi1 ɗoŋ͡m1
gid	ɣit5
gitaʁ	ɣi1 ta1
glajœl	lăj1 ʔɤn1
gol	ɣon1
inɔks	ʔi1 nok͡p5
jauʁt	za1 ʔuə1
jɔd	ʔi1 ot5
kabin	ka1 ɓin1
kaʁabin	kak6 ɓin1
kaʁa	ka2 za5
kaʁamɛl	ka1 ɾa1 mɛn1
kaʁbɔnat	kak5 ɓɔ1 nat5, kak5 ɓo1 nat5
kaʁbɔn	kak5 ɓɔn1
kaʁbyʁ	kak5 ɓuə1
kaʁdɑ̃	kak5 ɗăŋ1
kaʃɛ	kat5 se1, kat5/6 se1
kaʁɔt	ka2 zot5
kaʁi	ka1 zi1, ka2 zi1
kaʁ	ka1
kœʁ	kɤ1
kaɔlɛ̃	kaw1 lɛŋ1
kaʁo	zo1
kaʁtabl(ə)	kak5 tap5, kăp6 tap5 ka1 tap5
kaʁtɔ̃	kak5 toŋ͡m1
kaʁtɛl	kak5 tɛn1, kak5/6 tɛn1
kaʁtuʃ	tut5
kafe	ka2 fe1
kakao	ka1 kaw1
kø	kɔ1
kalɔʁi	ka1 lo1 zi1
kaljɔm	ka1 li1
kalk	kan1
kalo	ka1 lo1
kalsjɔm	kan1 si1
kamjɔ̃	kam1 ɲoŋ͡m1
kam	kam1
kanɔ̃	ka2 nɔŋ͡m1
kanif	ɲip5
kano	ka1 no1
kap	kap5
kapo	ka1 po1
kasɛ	kat5 sɛt5
kaskɛt	ket5
katalɔg	ka1 ta1 lo1
katolik	ki1 to1
kautʃu	kaw1 su1
kʁavat	ka1 vat5, ka2 vat6, ka2 za1 vat5
kɔbalt	kɔ1 ɓan1, ko1 ɓan1
kɑbl(ə)	kap5
kɔɲak	ko1 ɲăk5
kɔʁ	kɔ1
kʁɛm	kɛm1, ka2 zɛm1
kʁɛp	kɤ2 zep5, kep5
kɔfʁaʒ	kop5 fa1, kot5 fa1
kɔfʁ(ə)	kop5
kɔ̃feti	koŋ͡m1 fɛt5 ti1, kɔn1 fɛt5/6 ti1
kɔ͂pɑ	kɔm1 pa1
kɔ̃plɛ	kɔm1 le1
kɔ̃sɔʁsjɔm	koŋ͡m1 sɔk͡p5 si1 ʔɔm1
kɔ̃sɔl	koŋ͡m1 sɔn1 kɔn1 son1
kɔ͂tœʁ	koŋ͡m1 tɤ1
kɔ̃taktœʁ	koŋ͡m1 tăk5 tɤ1
kɔ̃takt	koŋ͡m1 tak5
kɔ̃t(ə)nœʁ	kɔŋ͡m1 tɛ1 nɤ1, koŋ͡m1 tɛn1 nɤ1, koŋ͡m1 tɤ1 nɤ1
kɔ̃tgut	koŋ͡m1 tɤ1 ɣut5
kɑ̃.tin	kăŋ0.tin0
kɑ͂tin	kăŋ1 tin1
ke	kɛ2
kɔk	kok͡p5
kɔktɛl	kok͡p5 taj1
kɔmɑ̃dkaʁ	kɔm1 măŋ1 ka1
kɔmisjɔ̃	kɔm1 mit5 si1 oŋ͡m1, kɔm1 mi1 si1 oŋ͡m1
kepi	ke1 pi1
kɛs	kɛt5
kɔtɔ̃	ko toŋ͡m1
kiɔsk	ki1 ot5
kilɔgʁam	ki1 lo1, ki1, lo1
kilɔmɛtʁ(ə)	ki1 lo1 mɛt5
klɔʁ	kɤ2 lɔ1
klɔʁyʁ	kɤ1/2 lɔ1 zuə1 
kle	kɤ1 le1,  kɤ2 le1
klinkɛʁ	kɤ1/2 lin1 kɛ1, kɤ1/2 lɛŋ1 kɛ1
kotɑ̃ ʒɑ̃t	kɔ1 taŋ1, ko1 taŋ1
krəsɔ̃	kaj4 sɔŋ͡m1
krik	kik5
kuʁœʁ	kuə1 zɤ1
kuʁwa	ku1 zwa1
ku	ku5
kulɔ̃	ku1 loŋ͡m1, ku1 lɔn1
kup	kup1
kup	kup5
kylas	kwi1 lat5
laʁbʁ(ə)	lap5
lakle	lăk5 le1, lăk5
la	la1
latɛ̃	la1 tiŋ1
lavabo	la1 va1 ɓo1, la1 va1 ɓɔ1
leʒjɔ͂	le1 zɯəŋ1
lɛgɔʁn	lɤ1 ɣɔ1
legym	la1 ɣim1, ɣim1
le.gym	le0.ɣim0
lɛ̃	lɛŋ1
lɛ̃to	lɛŋ1 to1
leninist	le1 ni1 nit5
lɛn	lɛn1
lɔto	lo1 to1
lipid	li1 pit5, li1 pit5/6
litʁ(ə)	lit5
litɔgʁafi	li1 to1
litʁ	lit1
litjɔm	li1 ti1
lodʒja	lo1 za1
loʒik	lo1 zik5/6, lɔ1 zik5/6, lo1 ɣik5
logaritm(ə)	lo1 ɣa1, lo1 ɣa1 zit5, lo1 ɣa1 ɾit5
lo	lo1
lup	lup5
lyksɑ̃buʁ	lwik5 săm1 ɓuə1, luk͡p5 săm1 ɓuə1
madam	ɓa2 ɗɤ̆m2
maɲezjɔm	ma1 zi1, ma1 ɲe1
maʁatɔ̃	ma1 za1 toŋ͡m1
maʁk	mak5
maʁksist	mak5 sit5
majʃɔʁ	măj1 sɔ1
majo	măj1 ʔo1
makɛro	ma1 ko1
man(ə)kɛ̃	ma1 nɤ1 kɛŋ1
mangustɑ̃	măŋ1 kut6
masaʒ	mat5 sa1
mastik	mat5 tit5, ma1 tit5
mazut	ma1 zut5
mɔbilɛt	mo1 ɓi1 lɛt5
mɔd	mot5
mɔʁfin	mɔk͡p5 fin1
mɛʁ	mɛ1
mɔʁs	mɔk͡p5
mɑ̃dolin	măŋ1 ɗo1 lin1
mɑ͂ ʃɔ͂	măŋ1 soŋ͡m1
mɑ̃ʃɛt	măŋ1 sɛk5
mɑ̃to	măŋ1 to1
mɔnɔmɛʁ	no1 no1 mɛ1
mɛtʁ	mɛt5
mɔtif	mo1 tip5
mi	mi1
mimosa	mi1 mo1 sa1
mini, miniʒyp	mi1 ni1, mi1 ni1 zwip5
min	min2
modyl	mo1 ɗun1
molɛt	mo1 let5, mɔ4 lɛt6, mɔ4 let5
motœʁ	mo1 tɤ1
motosiklɛt	mo1 to1
muʃwaʁ	mu1 swa1, muj2 swa1
mus	mut5
mutaʁd	mu2 tak6, mu2 tat6
mwajø 	mwăj1 ʔɤ1
nøʁon	nɤ1 zɔn1
nø	nɤ1
nøtʁɔ̃	nɤ1 tɤ1/2 zon1, nɤ1 tɤ1/2 zoŋ͡m1
neɔ̃	ne1 ʔoŋ͡m1
nɔɛl	no1 ɛn1
nɔt	not5
nikɛl	ni1 kɛn1, ken2
nilɔ̃	ni1 loŋ͡m1
nitʁoʒɛn	ni1 to1, ni1 tɤ1
nivo	ni1 vo1
oliv	ʔo1 liw1
opeʁa	ʔo1 pe1 za1, ʔo1 pe1 ɾa1
otobys	ʔo1 to1 ɓwit5
otomat	ʔap5 to1 mat5, ʔat5 to1 mat5
otomɔbil	ʔo1 to1
ovɑ̃	ʔo1 văŋ1
paʁpɛ̃	ɓa1 ɓɛŋ1
pagaj	ɓa1 ɣaj1
palɑ̃	pa1 lăŋ1 
palto	ɓɛŋ2 to1
pano	pa1 no1
pate	ɓa1 te1,  pa1 te1
patɛ̃	pa1 tɛŋ1
pedal	pe1 ɗan1
pedeʁast	pe1 ɗe1
pɔʁtbagaʒ	ɓa1 ɣa1
pɔ̃	ɓɔ:ŋ0
pɔ̃p	ɓɤm1
pɛ̃so	pɛŋ1 so1
pɛ̃s	pɛŋ1
p(ə)lyʁ	pɤ1 lwiə1
pɔmad	pɔm1 mat5
pɔm	ɓɔm1
penisilin	pe1 ni1 si1 lin1
pɔsdəgaʁd	ɓɔt5 ɣak5
piɲɔ̃	ɲoŋ͡m1
pik	ɓik5, pik5
pil	ɓin1, pin1
pil	pin1
pistɔ̃	pit5 toŋ͡m1
pjano	pi1 a1 no1
plafɔ̃	la1 foŋ͡m1
po	ɓo1, po1
potɑ̃s	fot5 tăŋ1, po1 tăŋ1
pudʁ(ə)	ɓot6
puli	pu1 li1
pupe	ɓup5 ɓe1
r(ə)lɛ	zɤ1 lɛ1
rɔm	zum1
rulibʁ(ə)	lip5
rulo	zu1 lo1, lo1
sœʁ	sɤ1, sɤ2
sagutje	sa1 ɣo1  tɕe1, sa1 ɣu1
sakɔʃ	sa2 kot6
sak	săk5
saksɔfɔn	săk5 so1 fon1
salad	sa2 lɛk5
sa.tɑ̃	sa0.tăŋ0
sa.tɛ̃	sa0.tɛŋ0
satɑ͂	sa1 tăŋ1
satɛ͂	sa1 tɛŋ1
savɔ̃	sa2 ɓoŋ͡m1
sa.vɔ̃	sa2.fɔŋ2
s(ə)ʁiz	sɤ1 zi1
sɛʁvœʁ oder ʁ(ə)səvœʁ	sɤ1 vɤ1
segmɑ̃	sɛk5 măŋ1, sɛt5 măŋ1
sɑ̃dal	săŋ1 ɗan1
sɑ̃timɛtʁ(ə)	săŋ1 ti1 mɛt5
s(ə)kuʁ	sɤ1 kuə1
sɔl	sɔn1
selyloz	sɛn1 lu1 lo1
selyl	sa2 lim1
seminɛʁ	se1 mi1 na1
sɔnɛ	sɔn1 ne1
sezaʁ	se1 za1
sid(ə)kaʁ	sit5 ɗɤ2 ka1
siɲal	si1 ɲan1
siʁaʒ	si1
siʁk	siək5
siʁo	si1 zo1, si1 ɾo1
sifɔ̃	si1 foŋ͡m1
sigaʁ	si2 ɣa2
siklɛt	sik5
siklopus	sik5 lo1
silɛ̃dʁ(ə)	si1 lɛŋ1
simɑ͂	si1 măŋ1
simili	si1 mi1 li1
sinema	si1 ne1 ma1, si1 ne1
sinys	sin1
si	si1
sitɛʁn	si1 tɛk5
skɑ̃dal	si2 kăŋ1 ɗan1
slip	si1 lip5
sofa	so1 fa1
sosis	suk͡p5 sik5
so	so1
sosovɛ̃	sot5 vaŋ1
sos	sot5
staʁtɛʁ	tăk5 tɛ1
sud	sut5
supap	su1 pap5
sup	sup5
su	su1
sutjɛ̃gɔʁʒ	su1  tɕiəŋ1
sylfat	swin1 fat5, sun1 fat5/6
sylfyʁ	sun1 fuə1
tablije	tap6 ze2
tablo	tap5 lo1
taʁo	ta1 zo1
taksi	tăk5 si1
talk	tan1
taly	ta1 lwi1
tanɛ̃n	ta1 nin1
tatu	ta1 tu1
tʁœj	tɤj2
tʁaktœʁ	tăk5 tɤ1
tʁavɛʁs	ta2 vɛt6
tʁɛ̃gl(ə)	tɛŋ1
tʁɔ̃.pɛt1	com0.pɛt1
tʁɔ̃pɛt	 tɕɔm1 pɛt5,  tɕɹɔm1 pɛt5
tʁɑ̃sbɔʁdœʁ	tăŋ1 ɓɔ1
tʁɑ̃sfɔʁmatœʁ	tăŋ1 fo1
tɛ̃bʁ	tɛm0
tɛ̃bʁ	tɛm1
tɑ̃dœʁ	tăŋ1 ɗɤ1
tɔ̃døs	toŋ͡m1 ɗɤ1
tɑ̃ ʒɑ̃t	taŋ1
tɑ̃go	tăŋ1 ɣo1
tɥijo	twi1 ʔo1
tʁiko	ti1 ko1
tɑ̃k	tăŋ1
tɑ̃ pɔ̃	tăm1 ɓoŋ͡m1
teletip	te1 le1 tip5
tenis	tɛn1 nit5
tɔn	tɤ̆n5
tɑs	tɛk5
tike	tik5 ke1
tip	tip5
tisy	twit5 si1
titʁ(ə)	tit5
tol	ton1
tono	to1 no1, tɔn1 no1
totɛm	to1 tɛm1
tuʁmalin	tuə1 ma1 lin1
tuʁnɑ̃	tuək5 năŋ1
tuʁnəvis	tuək5 nɤ1 vit5, tuə1 vit5, vit5
tuʁ	tuə1
tuʁ	twa2
twid	twit5
tyb	tip5, twip5
tyʁbin	tuə1 ɓin1, twiət6 ɓin1
tylip	tu1 lip5/6 twi1 lip5
tyl	twin1
tynɛl	twi1 nɛn1
vagɔnɛ	ɣɔŋ͡m2, ɣɔŋ͡m1
valiz	va1 li1
valv	van1
vanij	va1 ni1
van	van1
vas(ə)lin	va1 zɤ1 lin1, va1 sɛ1 lin1
vat	vat5
vɛʁni	vɛt6 ni1, vɛk5 ni1
vɛʁ	vɛ1
vɛ͂	vaŋ1
vɛktœʁ	vɛk5 tɤ1
vɔlt	von1
vɛn	vɛn1
vɛstɔ̃	vɛt5 toŋ͡m1
vɛst	vɛst5/6, vɛt5/6
videokasɛt	kat5 sɛt5
vi.ʁys	vi0.zut1
viʁys	vi1 zut5
vis	vit5
vjɔlɔ̃sɛl	vi1 o1 loŋ͡m1 sɛn1, sɛn1 lo1
vjɔlɔ̃	vi1 o1 loŋ͡m1 
vjolɛt	vi1 o1 lɛt5
volɑ̃	vo1 lăŋ1
voltmɛtʁ(ə)	von1 ke5
vwal	vwan1
yʁe	ʔu1 ze1
zeʁo	ze1 zo1
ziklœʁ	zik5 lɤ1
